event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
6,2080,515,80,-32,2031,261,2060,307
6,2080,518,32,16,2030,126,2060,311
6,2080,521,80,0,2031,267,2060,314
6,2081,170,16,-64,2030,104,2060,275
6,2081,173,0,-48,2031,240,2060,277
6,2081,183,64,0,2031,247,2060,287
6,2081,188,64,-16,2031,254,2060,296
6,2081,192,80,16,2031,257,2060,304
6,2081,194,80,0,2031,261,2060,307
6,2081,199,80,-16,2031,267,2060,314
7,1020,703,-16,0,2031,366,2060,329
7,1020,712,16,48,2031,373,2060,334
7,1020,716,48,32,2031,375,2061,173
7,1021,1156,-16,0,2031,366,2060,329
7,1021,1167,16,16,2031,373,2060,334
7,1021,1171,48,48,2031,375,2061,173
7,1040,950,-16,0,2031,366,2060,329
7,1040,958,16,16,2031,373,2060,334
7,1040,960,48,0,2031,375,2061,173
7,1041,549,-16,0,2031,366,2060,329
7,1041,558,16,0,2031,373,2060,334
7,1041,562,48,32,2031,375,2061,173
7,1060,603,32,16,2031,365,2060,328
7,1060,604,-16,0,2031,366,2060,329
7,1060,611,64,64,2031,372,2060,331
7,1060,613,48,32,2031,375,2061,173
7,1061,1055,32,48,2031,365,2060,328
7,1061,1061,64,64,2031,372,2060,331
7,1061,1063,48,16,2031,375,2061,173
7,1080,1210,32,16,2031,365,2060,328
7,1080,1217,64,64,2031,372,2060,331
7,1080,1220,48,32,2031,375,2061,173
7,1081,88,32,32,2031,365,2060,328
7,1081,95,64,48,2031,372,2060,331
7,1081,97,48,48,2031,375,2061,173
7,2010,111,32,80,2031,365,2060,328
7,2011,512,32,48,2031,365,2060,328
7,2011,514,64,96,2031,372,2060,331
7,2080,284,16,-80,2030,403,2060,329
7,2080,286,96,32,2030,408,2060,334
7,2081,137,16,-64,2030,403,2060,329
7,2081,139,96,32,2030,408,2060,334
8,1020,1530,80,144,2030,221,2061,104
8,1020,1531,0,-16,2031,270,2060,321
8,1020,1540,32,64,2031,282,2060,330
8,1020,1541,32,48,2030,233,2061,114
8,1020,1556,64,32,2030,239,2060,342
8,1020,1565,16,16,2030,251,2061,127
8,1020,1567,16,16,2030,252,2060,351
8,1020,1570,32,48,2030,256,2060,353
