event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
14,1081,949,32,32,2080,399,2010,557
14,2031,209,-32,-16,2071,572,2021,363
14,2040,335,-32,-48,2071,572,2021,363
14,2041,461,-32,-16,2071,572,2021,363
14,2050,247,112,32,2081,126,2021,363
14,2050,258,64,0,2081,134,2010,557
14,2051,421,112,32,2081,126,2021,363
14,2051,428,64,0,2081,134,2010,557
14,2060,160,-32,0,2071,572,2021,363
14,2060,171,32,48,2080,399,2010,557
14,2061,527,0,0,2071,572,2010,552
14,2061,536,32,32,2080,399,2010,557
15,1020,1308,144,-80,2080,464,2010,363
15,1020,1328,64,32,2081,83,2010,371
15,1021,966,144,-64,2080,464,2010,363
15,1021,989,64,64,2081,83,2010,371
15,1040,689,0,0,2071,498,2010,360
15,1040,719,64,64,2081,83,2010,371
15,1041,1247,-16,0,2071,498,2021,484
15,1041,1281,64,48,2081,83,2010,371
15,1060,1188,-16,0,2071,498,2021,484
15,1060,1229,64,48,2081,83,2010,371
15,1061,1391,64,48,2081,83,2010,371
15,1080,1015,144,32,2080,464,2010,363
15,1080,1041,64,64,2081,83,2010,371
15,1081,20,144,64,2080,464,2010,363
15,1081,49,64,48,2081,83,2010,371
15,2030,385,80,-32,2081,60,2021,484
15,2030,413,64,16,2081,83,2010,371
15,2031,281,-16,-16,2071,498,2021,484
15,2031,292,144,32,2080,464,2010,363
15,2031,320,64,48,2081,83,2010,371
15,2040,200,64,0,2080,454,2021,484
15,2040,210,144,48,2080,464,2010,363
15,2040,236,64,0,2081,83,2010,371
15,2041,150,64,0,2080,454,2021,484
15,2041,159,144,80,2080,464,2010,363
15,2041,184,80,-16,2080,476,2010,371
15,2050,427,64,0,2080,454,2021,484
15,2050,434,144,80,2080,464,2010,363
15,2051,94,64,16,2080,454,2021,484
15,2051,99,144,80,2080,464,2010,363
15,2060,335,-16,-16,2071,498,2021,484
15,2060,342,144,48,2080,464,2010,363
15,2061,121,0,0,2071,498,2010,360
15,2061,125,144,128,2080,464,2010,363
16,1020,1273,-80,0,2080,465,2010,554
16,1020,1290,0,16,2080,478,2021,500
16,1021,772,-80,0,2080,465,2010,554
16,1021,793,0,32,2080,478,2021,500
16,1060,1023,48,48,2081,125,2010,563
16,1060,1027,0,16,2080,478,2021,500
16,1060,1039,32,48,2081,134,2021,504
16,1061,84,48,32,2081,125,2010,563
16,1061,88,0,16,2080,478,2021,500
16,1061,100,32,16,2081,134,2021,504
16,1080,823,-80,160,2080,465,2010,554
16,1080,828,-32,0,2070,339,2010,556
16,1080,841,48,48,2081,125,2010,563
16,1080,854,32,16,2081,134,2021,504
16,1081,11,-80,176,2080,465,2010,554
16,1081,17,-32,0,2070,339,2010,556
16,1081,31,48,48,2081,125,2010,563
16,1081,46,32,48,2081,134,2021,504
16,2030,526,-32,-16,2070,339,2010,556
16,2030,545,0,0,2080,478,2021,500
16,2031,216,48,0,2080,471,2021,493
16,2031,235,0,-16,2080,478,2021,500
16,2040,304,-64,-16,2070,339,2021,493
16,2040,323,0,-16,2080,478,2021,500
16,2041,164,-64,0,2070,339,2021,493
16,2041,183,0,-16,2080,478,2021,500
16,2050,432,-128,-32,2080,465,2021,491
16,2050,443,48,-32,2081,125,2010,563
16,2050,454,48,-16,2080,486,2021,504
16,2051,375,-128,0,2080,465,2021,491
16,2051,386,48,0,2081,125,2010,563
16,2051,394,48,-16,2080,486,2021,504
16,2060,256,-128,16,2080,465,2021,491
16,2060,269,48,48,2081,125,2010,563
16,2060,281,32,16,2081,134,2021,504
16,2061,404,-128,16,2080,465,2021,491
16,2061,412,48,32,2081,125,2010,563
16,2061,422,32,16,2081,134,2021,504
17,1020,946,-32,16,2071,524,2010,213
17,1020,961,112,64,2080,287,2010,219
17,1021,1040,-32,0,2071,524,2010,213
17,1021,1060,112,96,2080,287,2010,219
17,1060,1212,-16,-32,2071,522,2010,209
17,1060,1215,-64,0,2071,524,2021,301
17,1060,1230,112,96,2080,287,2010,219
17,1061,1262,-32,-16,2071,524,2010,213
17,1061,1278,112,64,2080,287,2010,219
17,1080,989,-16,-32,2071,522,2010,209
17,1080,1010,112,32,2080,287,2010,219
17,1081,83,-16,-16,2071,522,2010,209
17,1081,103,112,48,2080,287,2010,219
17,2031,416,-32,-16,2071,524,2010,213
17,2040,334,-32,32,2071,524,2010,213
17,2041,461,-64,0,2071,524,2021,301
17,2050,238,96,0,2081,124,2010,209
17,2050,250,112,-16,2080,287,2010,219
17,2051,188,80,16,2080,274,2010,209
17,2051,197,112,-32,2080,287,2010,219
17,2060,370,-16,-32,2071,522,2010,209
17,2060,382,112,80,2080,287,2010,219
17,2061,158,-16,-16,2071,522,2010,209
17,2061,167,112,80,2080,287,2010,219
18,1020,21,64,80,2080,179,2021,160
18,1020,33,-32,0,2070,378,2010,253
18,1021,662,0,32,2080,180,2010,247
18,1021,676,-32,16,2070,378,2010,253
18,1060,480,64,80,2080,179,2021,160
18,1060,481,0,64,2080,180,2010,247
18,1060,496,-32,0,2070,378,2010,253
18,1061,750,64,96,2080,179,2021,160
18,1061,751,0,96,2080,180,2010,247
18,1061,767,-32,16,2070,378,2010,253
18,1080,701,64,64,2080,179,2021,160
18,1080,702,0,64,2080,180,2010,247
18,1081,934,64,64,2080,179,2021,160
18,1081,935,0,80,2080,180,2010,247
18,2030,205,96,240,2080,179,2010,246
18,2030,206,0,64,2080,180,2010,247
