sample,mean,median,percentile_16,percentile_84
590,-50.642795562744141,-38,-95,-12.5
591,-50.869457244873047,-38,-95,-13
592,-51.089031219482422,-38,-95.5,-13
593,-51.303142547607422,-38,-96,-13
594,-51.504642486572266,-38,-96,-13
595,-51.726768493652344,-38.5,-96.5,-13
596,-51.923076629638672,-39,-97,-13
597,-52.142765045166016,-39,-97,-13
598,-52.335483551025391,-39,-97,-13
599,-52.549953460693359,-39,-98,-13.5
600,-52.757564544677734,-39,-98,-14
601,-52.954734802246094,-39,-98,-14
602,-53.153476715087891,-39.5,-98.920000000000073,-14
603,-53.362010955810547,-40,-99,-14
604,-53.539596557617188,-40,-99,-14
605,-53.72216796875,-40,-99.5,-14
606,-53.91485595703125,-40,-100,-14
607,-54.105972290039062,-40,-100,-14
608,-54.306465148925781,-40,-100,-14
609,-54.513603210449219,-40.5,-101,-14.5
610,-54.705936431884766,-40.5,-101,-14.579999999999927
611,-54.893909454345703,-41,-101,-15
612,-55.069507598876953,-41,-101.5,-15
613,-55.269020080566406,-41,-102,-15
614,-55.445358276367188,-41,-102,-15
615,-55.619979858398438,-41,-102,-15
616,-55.815010070800781,-41,-102,-15
617,-55.986930847167969,-41.5,-102.5,-15
618,-56.162822723388672,-41.5,-103,-15
619,-56.360023498535156,-42,-103,-15
620,-56.533603668212891,-42,-103,-15
621,-56.702289581298828,-42,-103,-15.5
622,-56.829608917236328,-42,-104,-15.5
623,-57.0037841796875,-42,-104,-15.5
624,-57.187629699707031,-42,-104,-16
625,-57.362724304199219,-42,-104,-16
626,-57.519508361816406,-42.5,-105,-16
627,-57.684486389160156,-43,-105,-16
628,-57.827949523925781,-43,-105,-16
629,-57.983932495117188,-43,-105,-16
630,-58.127189636230469,-43,-106,-16
631,-58.280620574951172,-43,-106,-16
632,-58.441322326660156,-43,-106,-16
633,-58.584133148193359,-43,-106,-16
634,-58.748161315917969,-43,-106.5,-16
635,-58.876136779785156,-43,-106,-16
636,-59.034553527832031,-43.5,-106.5,-16
637,-59.192138671875,-43.5,-107,-16
638,-59.325546264648438,-44,-107,-16
639,-59.460105895996094,-44,-107,-16
640,-59.604488372802734,-44,-108,-17
641,-59.756942749023438,-44,-108,-17
642,-59.876045227050781,-44,-108,-17
643,-60.029243469238281,-44,-108.42000000000007,-17
644,-60.178340911865234,-44,-108.92000000000007,-17
645,-60.313320159912109,-44,-109,-17
646,-60.417350769042969,-44.5,-109,-17
647,-60.526393890380859,-44.5,-109,-17
648,-60.673358917236328,-45,-109.5,-17
649,-60.801837921142578,-45,-110,-17
650,-60.932186126708984,-45,-110,-17
651,-61.063602447509766,-45,-110,-17
652,-61.176471710205078,-45,-110.5,-17
653,-61.317829132080078,-45,-111,-17
654,-61.425212860107422,-45,-111,-17
655,-61.575916290283203,-45,-111,-17
656,-61.688667297363281,-45,-111,-17.5
657,-61.801303863525391,-45.5,-112,-17.5
658,-61.917171478271484,-46,-112,-18
659,-62.043514251708984,-46,-112,-18
660,-62.155109405517578,-46,-112,-18
661,-62.262935638427734,-46,-112.5,-18
662,-62.354297637939453,-46,-113,-18
663,-62.468799591064453,-46,-113,-18
664,-62.559597015380859,-46,-113,-18
665,-62.662765502929688,-46,-113,-18
666,-62.77349853515625,-46,-113.5,-18
667,-62.883079528808594,-46,-114,-18
668,-62.970905303955078,-46,-114,-18
669,-63.086803436279297,-46.5,-114,-18
670,-63.199676513671875,-46.5,-114.5,-18
671,-63.327117919921875,-47,-115,-18
672,-63.400642395019531,-47,-115,-18
673,-63.512241363525391,-47,-115,-18
674,-63.606300354003906,-47,-115,-18
675,-63.701992034912109,-47,-115,-18.5
676,-63.791126251220703,-47,-115.5,-18.5
677,-63.905658721923828,-47,-115.5,-18.5
678,-63.999393463134766,-47,-116,-18.5
679,-64.078910827636719,-47,-116,-19
680,-64.169532775878906,-47,-116,-19
681,-64.262283325195312,-47,-116,-19
682,-64.358451843261719,-47,-116,-19
683,-64.476661682128906,-47.5,-116.5,-19
684,-64.570960998535156,-48,-116.5,-19
685,-64.665435791015625,-48,-117,-19
686,-64.760353088378906,-48,-117,-19
687,-64.872573852539062,-48,-117,-19
688,-64.939987182617188,-48,-117,-19
689,-65.035682678222656,-48,-117,-19
690,-65.115501403808594,-48,-117,-19
691,-65.186500549316406,-48,-117.5,-19
692,-65.25970458984375,-48,-118,-19
693,-65.353759765625,-48,-118,-19
694,-65.438179016113281,-48,-118,-19
695,-65.537315368652344,-48,-118,-19
696,-65.635826110839844,-48,-119,-19
697,-65.721870422363281,-48,-118.5,-19
698,-65.802604675292969,-48.5,-118.5,-19
699,-65.900230407714844,-48.5,-119,-19
700,-65.987289428710938,-49,-119,-19
701,-66.081047058105469,-49,-119,-19
702,-66.170417785644531,-49,-119,-19
703,-66.259910583496094,-49,-119,-19
704,-66.337089538574219,-49,-120,-19.5
705,-66.424140930175781,-49,-120,-19.5
706,-66.515144348144531,-49,-120,-19.5
707,-66.621910095214844,-49,-120,-19.5
708,-66.686294555664062,-49,-120,-19.5
